nd_name;t-7;t-6;t-5;t-4;t-3;t-2;t-1;t
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;6
nw_sf_5321_a1;0;0;0;0;0;0;6;0
nw_sf_5321_a1;0;0;0;0;0;6;0;1
nw_sf_5321_a1;0;0;0;0;6;0;1;0
nw_sf_5321_a1;0;0;0;6;0;1;0;0
nw_sf_5321_a1;0;0;6;0;1;0;0;0
nw_sf_5321_a1;0;6;0;1;0;0;0;0
nw_sf_5321_a1;6;0;1;0;0;0;0;0
nw_sf_5321_a1;0;1;0;0;0;0;0;0
nw_sf_5321_a1;1;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;0;0
nw_sf_5321_a1;0;0;0;0;0;0;1;0